username,id,followersCount
londonland.healthy,46969690644,67843
zojita.ir,16326817837,304393
ng_cosmetic_shop,4677821738,270623
chenille_cosmetic,54151711641,1816
attari_khalifeh,6209495108,56661
rainbow.cosmeticshop,6679286430,136572
tahlenji_daryaa,61523472652,71077
ellbeauty.ir,22564980000,26635
zhiin_shop,58247210192,150533
gallery.delvin,2898342481,141743
zhe_gallery_,56009988681,55312
daviin.beauty,38476874607,43954
metasam.co,53128098144,2047
nab.organic,12074563161,10477
mahak_qom,2165459369,4392
zava_gallery_,6895977262,16951
bazak.cosmeticss,11115382370,5546
oceano.soaps,26319649563,40364
baradarigallery,2214196912,16929
farzib_products,50256293933,73573
nova_organic_goods,37718975139,18929
delvin.gallery03,68265269424,4043
bahareh__shop,44422641321,64169
elysee_cosmetics,4117254225,97009
araliashop_ir,7732511023,51097
chocolate_raman,47688704177,3333
deluxe_cosmetics_store,1181671366,78336
topland2141,20306646869,1867
mahsolate.norgol.bul,8214011882,37429
banehbazargan.co,34994266130,19469
elizeh.vip,28848054699,15055
cosmetics_atlasi,3444126779,14944
unikshoop,58452122316,33663
thegoldenfigaf,28084109833,1022
unjecellcosmetics,27051745016,61389
proven_beauty_baneh,66872035200,1018
morfose.cosmatic,51036816397,8146
pardis_makeup_,14209470688,41239
vanikade,28336020288,4492
lafarrerr.moringa.mashhad,48887878095,2449
fatima.ledoraa,70224720624,1247
aygol.shoping,51840364964,5632
arayeshi_tutia,6768721450,11600
savis_shop_,48094401837,2002
gallery_nancy_shop,3554863943,13954
helia.markett,6702904325,1672
drtaherkhanii,2121850351,43030
nasrinkh210,47786271391,2803
golenarghss,55120544020,2083
baby.food.ir,8445358521,295471
venosjavanybeauty,69553779103,1160
beautypure773,74561985243,1071
_dr.nooshin_,67639685877,931
afko.onlineshop,44735715638,33290
sisaclean_ir,44881712583,4528
zi.mano,42304123193,2602
princess_luxury1402,58409971619,1917
arayeshi_matik1234,59967520435,916
rheinshop.de,65556676850,744
ettehad.genaveh,1395145489,2182
organic_mikaeil,57214475041,5322
arezoo.bahrami9775,8045251206,6878
sepiroom,4442547254,12445
nana.beauty.ir,60108769849,2965
nazanin_beauty_o,45637777269,48200
somayeh_bizplas,71826938987,646
tata_allure,54985047048,3562
clean_island.ir,70161954735,1831
shopkarj,54241981947,1249
diyaa_beauty8,15661223415,549
suma_beauty,64616334872,485
aragira_beauty,47944779790,3687
etro_shopp,22335206121,29693
samaneheydrii,8193310728,19497
s0rmeh_,48626872582,18842
skincare_saeidii,53848393348,8915
arayeshi_marrjan,54095328291,1894
takin_ferferi,4636659603,13550
boolife.ir,71102873380,8729
galocher_shop,60218613724,7184
nafis_shopmnd,50329576575,4659
germany_beauty_land,45642199521,611
beauty_land.03,66255407269,558
moon_onlinegallery,3999290898,2411
1liateam,30052413511,983
velva_cosmetics,74057911651,105
liateam_brand_,49637686414,408
del___beauty,63572509078,922
alocasia____,23475191516,11206
ozerluxstore,47945275748,2168
elenbeautyzibaei1404,58634513735,1784
hans_beautyshop,34246381762,11113
azin.beautyshop,3233010517,53459
ballonx1,69483222647,35636
shahin11group8,71529225795,1320
mousavi.medical,49564029522,1322
bellaadoonashop,4109901345,
vaniabeautyshop,9005415908,22965